user;gender;age;how_tall_in_meters;weight;body_mass_index;x1;y1;z1;x2;y2;z2;x3;y3;z3;x4;y4;z4;class
debora;Woman;46;1,62;75;28,6;3;100;-61;-8;23;-12;-13;104;-90;-157;-97;-142;sitting
debora;Woman;46;1,62;75;28,6;-4;95;-63;-15;19;-17;-13;105;-89;-169;-96;-143;sitting
debora;Woman;46;1,62;75;28,6;1;100;-63;-10;22;-13;-14;104;-91;-177;-99;-133;sitting
debora;Woman;46;1,62;75;28,6;0;96;-64;-13;20;-16;-13;105;-88;-189;-104;-141;sitting
debora;Woman;46;1,62;75;28,6;0;100;-63;-10;21;-14;-14;103;-90;-193;-95;-139;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-66;-14;20;-16;-13;104;-88;-196;-96;-134;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-65;-12;19;-16;-13;104;-90;-197;-97;-139;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-67;-13;20;-15;-12;105;-88;-197;-96;-134;sitting
debora;Woman;46;1,62;75;28,6;-4;100;-67;-14;19;-17;-13;105;-90;-200;-99;-133;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-65;-13;20;-14;-12;105;-89;-182;-105;-135;sitting
debora;Woman;46;1,62;75;28,6;0;96;-65;-14;20;-17;-13;104;-89;-165;-100;-145;sitting
debora;Woman;46;1,62;75;28,6;0;99;-63;-11;22;-13;-13;104;-90;-168;-90;-140;sitting
debora;Woman;46;1,62;75;28,6;-5;96;-65;-15;18;-17;-13;104;-89;-176;-98;-137;sitting
debora;Woman;46;1,62;75;28,6;1;100;-61;-9;22;-12;-13;104;-90;-151;-105;-137;sitting
debora;Woman;46;1,62;75;28,6;-1;96;-64;-13;20;-16;-12;105;-89;-151;-111;-142;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-65;-12;20;-14;-14;104;-90;-156;-103;-140;sitting
debora;Woman;46;1,62;75;28,6;-2;99;-66;-13;20;-15;-12;105;-88;-155;-103;-140;sitting
debora;Woman;46;1,62;75;28,6;-4;97;-66;-15;19;-17;-13;104;-89;-152;-104;-141;sitting
debora;Woman;46;1,62;75;28,6;-1;101;-65;-9;22;-12;-14;104;-91;-160;-103;-142;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-68;-14;19;-17;-12;104;-88;-157;-102;-141;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-66;-12;20;-14;-14;104;-91;-156;-102;-143;sitting
debora;Woman;46;1,62;75;28,6;-1;98;-66;-12;20;-14;-12;104;-88;-153;-100;-144;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-67;-15;18;-17;-13;104;-90;-157;-101;-145;sitting
debora;Woman;46;1,62;75;28,6;0;102;-65;-8;22;-12;-13;104;-90;-155;-101;-146;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-65;-15;19;-17;-13;105;-89;-159;-101;-147;sitting
debora;Woman;46;1,62;75;28,6;2;100;-63;-9;22;-13;-13;104;-90;-150;-102;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-64;-14;20;-15;-12;104;-88;-155;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-64;-14;18;-17;-13;104;-90;-155;-100;-146;sitting
debora;Woman;46;1,62;75;28,6;-1;98;-64;-11;21;-13;-13;104;-90;-155;-101;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;96;-64;-15;19;-17;-13;104;-89;-155;-99;-145;sitting
debora;Woman;46;1,62;75;28,6;1;100;-63;-9;22;-12;-13;104;-91;-156;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-2;96;-64;-14;19;-17;-12;104;-88;-159;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;0;98;-62;-12;20;-15;-13;104;-90;-154;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-63;-12;21;-15;-12;105;-88;-160;-102;-151;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-64;-15;19;-16;-13;104;-90;-155;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-2;99;-64;-11;21;-13;-13;104;-90;-156;-100;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-65;-15;19;-17;-13;104;-90;-156;-99;-149;sitting
debora;Woman;46;1,62;75;28,6;0;101;-65;-9;22;-12;-13;104;-90;-156;-100;-149;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-66;-14;19;-16;-13;104;-88;-156;-98;-147;sitting
debora;Woman;46;1,62;75;28,6;1;101;-64;-10;22;-12;-14;104;-90;-156;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-66;-14;20;-16;-12;104;-88;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;0;101;-66;-10;21;-14;-14;104;-91;-157;-99;-149;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-68;-13;20;-16;-12;104;-87;-155;-98;-148;sitting
debora;Woman;46;1,62;75;28,6;0;101;-70;-12;20;-15;-14;103;-90;-156;-100;-150;sitting
debora;Woman;46;1,62;75;28,6;-2;100;-70;-13;19;-16;-12;104;-88;-155;-98;-150;sitting
debora;Woman;46;1,62;75;28,6;-2;102;-73;-13;19;-17;-13;104;-90;-158;-99;-150;sitting
debora;Woman;46;1,62;75;28,6;-4;103;-78;-14;20;-15;-11;104;-89;-161;-98;-149;sitting
debora;Woman;46;1,62;75;28,6;-4;101;-74;-15;17;-17;-13;104;-90;-160;-98;-149;sitting
debora;Woman;46;1,62;75;28,6;-3;101;-73;-13;20;-15;-12;105;-89;-158;-98;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;100;-72;-15;19;-17;-13;104;-90;-159;-100;-150;sitting
debora;Woman;46;1,62;75;28,6;-2;102;-69;-11;21;-13;-13;104;-90;-155;-100;-149;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-69;-14;18;-17;-13;104;-90;-157;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;1;102;-69;-9;22;-12;-13;104;-91;-153;-101;-146;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-72;-14;18;-16;-12;104;-88;-155;-102;-149;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-69;-11;20;-15;-14;104;-91;-154;-99;-145;sitting
debora;Woman;46;1,62;75;28,6;-2;99;-69;-13;21;-15;-12;105;-88;-154;-101;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-69;-15;19;-17;-13;104;-90;-155;-101;-148;sitting
debora;Woman;46;1,62;75;28,6;-2;101;-68;-10;22;-13;-13;104;-91;-154;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-4;99;-69;-14;19;-16;-13;104;-89;-156;-101;-146;sitting
debora;Woman;46;1,62;75;28,6;0;102;-67;-10;21;-13;-13;104;-91;-156;-101;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-68;-13;19;-16;-12;105;-89;-155;-99;-145;sitting
debora;Woman;46;1,62;75;28,6;-2;99;-66;-14;19;-17;-13;105;-90;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-2;99;-67;-13;20;-14;-13;104;-89;-156;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-66;-14;19;-17;-13;104;-90;-156;-100;-146;sitting
debora;Woman;46;1,62;75;28,6;0;101;-65;-10;22;-13;-14;104;-90;-156;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-67;-14;19;-16;-12;105;-88;-156;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;0;100;-65;-12;20;-14;-13;104;-91;-157;-100;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-65;-14;20;-16;-12;105;-88;-158;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-1;99;-65;-13;19;-15;-13;104;-90;-157;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-65;-13;20;-15;-12;104;-89;-156;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-65;-14;18;-17;-13;104;-91;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-65;-12;21;-14;-13;104;-89;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-4;97;-65;-15;18;-17;-13;104;-90;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-1;99;-64;-11;22;-13;-13;104;-90;-158;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-65;-15;19;-17;-13;104;-90;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;0;101;-64;-10;22;-12;-13;104;-90;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-4;97;-66;-15;19;-16;-13;104;-90;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;0;101;-65;-10;22;-12;-13;104;-90;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-67;-14;19;-17;-12;104;-88;-157;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;0;101;-65;-10;22;-13;-14;104;-91;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-67;-14;19;-16;-12;105;-88;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-66;-12;20;-16;-14;104;-90;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-66;-13;19;-15;-12;104;-89;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-67;-14;18;-17;-13;104;-90;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-65;-12;20;-14;-12;104;-89;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-66;-15;18;-17;-13;104;-90;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-2;100;-66;-12;21;-13;-12;104;-90;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-66;-15;18;-17;-13;104;-90;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;0;100;-64;-10;21;-12;-13;104;-91;-156;-99;-149;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-65;-15;18;-17;-13;104;-90;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;0;101;-64;-10;22;-12;-14;104;-91;-156;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-66;-15;19;-17;-13;104;-90;-158;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;0;101;-64;-10;21;-12;-14;104;-91;-157;-100;-149;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-66;-14;19;-17;-12;105;-89;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;0;101;-64;-10;21;-14;-14;104;-91;-156;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-65;-14;19;-16;-12;104;-88;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;0;100;-63;-11;20;-14;-14;104;-91;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-65;-14;19;-16;-12;105;-88;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-63;-12;19;-15;-14;104;-90;-155;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-63;-14;19;-15;-13;104;-90;-155;-101;-148;sitting
debora;Woman;46;1,62;75;28,6;-4;96;-65;-15;19;-17;-13;105;-90;-156;-101;-148;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-61;-11;22;-12;-13;104;-91;-150;-101;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;96;-63;-15;18;-16;-13;104;-89;-152;-101;-148;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-62;-11;20;-14;-14;104;-90;-152;-102;-150;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-63;-14;20;-15;-12;105;-89;-152;-101;-149;sitting
debora;Woman;46;1,62;75;28,6;-4;96;-64;-15;18;-17;-13;104;-91;-151;-102;-148;sitting
debora;Woman;46;1,62;75;28,6;-1;99;-62;-11;21;-13;-14;104;-90;-151;-102;-150;sitting
debora;Woman;46;1,62;75;28,6;-3;96;-63;-15;19;-17;-13;104;-89;-152;-101;-149;sitting
debora;Woman;46;1,62;75;28,6;0;100;-61;-11;21;-13;-14;104;-91;-151;-101;-149;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-63;-14;19;-15;-13;104;-89;-151;-100;-149;sitting
debora;Woman;46;1,62;75;28,6;-3;96;-63;-15;17;-17;-13;104;-90;-153;-101;-148;sitting
debora;Woman;46;1,62;75;28,6;-1;98;-62;-12;21;-13;-14;104;-90;-154;-101;-150;sitting
debora;Woman;46;1,62;75;28,6;-4;96;-64;-15;19;-16;-13;104;-89;-154;-101;-146;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-62;-11;21;-13;-14;104;-91;-152;-103;-149;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-64;-14;19;-16;-12;105;-88;-149;-102;-148;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-66;-14;19;-17;-14;104;-90;-152;-102;-150;sitting
debora;Woman;46;1,62;75;28,6;-2;99;-66;-12;21;-13;-13;104;-91;-149;-101;-148;sitting
debora;Woman;46;1,62;75;28,6;-4;97;-67;-15;18;-17;-13;104;-89;-151;-102;-148;sitting
debora;Woman;46;1,62;75;28,6;-1;102;-67;-10;22;-13;-14;104;-91;-154;-102;-148;sitting
debora;Woman;46;1,62;75;28,6;-5;99;-69;-15;19;-16;-12;105;-88;-156;-101;-146;sitting
debora;Woman;46;1,62;75;28,6;-2;100;-68;-13;19;-16;-14;104;-90;-155;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-66;-13;20;-14;-13;104;-90;-157;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-68;-15;19;-17;-14;104;-90;-158;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-2;100;-67;-12;22;-13;-13;104;-91;-159;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-67;-16;19;-17;-14;104;-90;-160;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-2;101;-67;-10;22;-13;-13;104;-91;-159;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-4;97;-66;-15;18;-17;-13;104;-90;-159;-98;-145;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-65;-10;22;-13;-14;104;-91;-159;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-5;98;-69;-15;19;-17;-13;104;-89;-158;-98;-146;sitting
debora;Woman;46;1,62;75;28,6;0;101;-66;-10;21;-13;-13;103;-91;-159;-100;-148;sitting
debora;Woman;46;1,62;75;28,6;-4;99;-68;-14;19;-17;-12;105;-88;-157;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-1;102;-68;-10;22;-14;-13;104;-91;-158;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-4;99;-70;-14;19;-16;-12;105;-88;-158;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-2;101;-67;-12;20;-15;-14;104;-91;-158;-99;-145;sitting
debora;Woman;46;1,62;75;28,6;-3;100;-68;-13;21;-15;-13;104;-89;-159;-100;-146;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-68;-14;18;-17;-14;104;-90;-158;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-68;-12;20;-15;-13;104;-89;-157;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-69;-15;19;-17;-13;104;-90;-158;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;100;-67;-12;21;-13;-13;104;-89;-158;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-67;-15;18;-17;-13;104;-90;-158;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-2;100;-67;-10;22;-12;-13;104;-91;-159;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-68;-15;19;-17;-13;104;-90;-156;-99;-145;sitting
debora;Woman;46;1,62;75;28,6;0;102;-66;-10;22;-12;-14;104;-91;-160;-100;-149;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-68;-15;19;-16;-13;104;-89;-156;-98;-146;sitting
debora;Woman;46;1,62;75;28,6;0;101;-66;-9;22;-12;-14;104;-91;-157;-100;-148;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-67;-15;19;-16;-12;104;-88;-160;-98;-145;sitting
debora;Woman;46;1,62;75;28,6;0;101;-66;-10;22;-13;-13;104;-91;-157;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-3;97;-66;-14;20;-16;-12;104;-89;-159;-98;-146;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-65;-11;21;-15;-14;104;-90;-159;-98;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-65;-13;20;-15;-12;104;-88;-158;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-65;-12;20;-15;-13;104;-91;-159;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-66;-14;19;-15;-12;104;-88;-158;-98;-146;sitting
debora;Woman;46;1,62;75;28,6;-2;99;-64;-13;20;-16;-14;104;-91;-158;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-65;-14;20;-15;-12;105;-89;-159;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-64;-14;19;-17;-13;104;-91;-159;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-66;-13;20;-16;-12;105;-89;-159;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-2;98;-65;-14;19;-17;-14;104;-91;-158;-98;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-66;-13;20;-14;-12;104;-89;-157;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-4;97;-67;-15;18;-17;-13;104;-91;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-66;-13;20;-14;-13;104;-90;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-68;-14;19;-18;-14;104;-90;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;99;-66;-12;22;-14;-13;104;-90;-158;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-5;97;-67;-14;18;-17;-13;104;-90;-159;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-2;100;-66;-11;21;-13;-13;104;-90;-156;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;-5;98;-68;-15;19;-17;-13;104;-90;-159;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-1;101;-66;-10;22;-12;-14;104;-90;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-67;-15;19;-17;-13;105;-89;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-1;102;-65;-10;22;-12;-14;104;-91;-158;-100;-148;sitting
debora;Woman;46;1,62;75;28,6;-4;98;-68;-15;19;-17;-12;104;-89;-159;-100;-147;sitting
debora;Woman;46;1,62;75;28,6;0;102;-65;-10;21;-13;-14;104;-91;-158;-99;-148;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-67;-14;20;-16;-12;104;-88;-158;-99;-146;sitting
debora;Woman;46;1,62;75;28,6;-1;101;-65;-12;21;-15;-14;104;-91;-159;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;98;-67;-14;20;-15;-12;105;-88;-157;-99;-147;sitting
debora;Woman;46;1,62;75;28,6;-1;100;-65;-11;21;-14;-14;104;-91;-157;-99;-148;sitting
wallace;Man;31;1,71;83;28,4;-21;93;-160;-298;-321;-480;-12;111;-81;-249;-72;-166;sittingdown
wallace;Man;31;1,71;83;28,4;-14;102;-149;-300;-302;-456;-13;108;-86;-237;-86;-150;sittingdown
wallace;Man;31;1,71;83;28,4;-18;96;-131;-296;-296;-442;-13;109;-77;-250;-88;-147;sittingdown
wallace;Man;31;1,71;83;28,4;-9;100;-119;-297;-291;-434;-10;111;-79;-238;-100;-127;sittingdown
wallace;Man;31;1,71;83;28,4;-8;86;-105;-290;-279;-408;-14;108;-83;-236;-102;-123;sittingdown
wallace;Man;31;1,71;83;28,4;-12;83;-104;-292;-280;-405;-5;112;-79;-212;-113;-114;sittingdown
wallace;Man;31;1,71;83;28,4;-18;83;-106;-292;-285;-407;-10;111;-86;-192;-112;-124;sittingdown
wallace;Man;31;1,71;83;28,4;-16;85;-103;-293;-281;-400;-8;111;-83;-179;-104;-99;sittingdown
wallace;Man;31;1,71;83;28,4;-15;81;-101;-287;-277;-388;-8;110;-83;-184;-91;-109;sittingdown
wallace;Man;31;1,71;83;28,4;-12;87;-99;-296;-338;-471;-11;109;-86;-190;-97;-130;sittingdown
wallace;Man;31;1,71;83;28,4;-13;87;-103;-289;-281;-392;-8;112;-83;-189;-97;-131;sittingdown
wallace;Man;31;1,71;83;28,4;-14;92;-117;-284;-295;-399;10;115;-87;-211;-87;-149;sittingdown
wallace;Man;31;1,71;83;28,4;-15;91;-119;-282;-294;-398;16;119;-80;-195;-83;-139;sittingdown
wallace;Man;31;1,71;83;28,4;-7;100;-119;-284;-295;-399;13;118;-79;-201;-83;-142;sittingdown
wallace;Man;31;1,71;83;28,4;-12;95;-118;-280;-293;-396;14;118;-80;-202;-83;-142;sittingdown
wallace;Man;31;1,71;83;28,4;-13;93;-121;-283;-294;-398;16;119;-80;-199;-85;-141;sittingdown
wallace;Man;31;1,71;83;28,4;-11;86;-130;-283;-295;-399;15;118;-81;-201;-83;-142;sittingdown
wallace;Man;31;1,71;83;28,4;-13;87;-122;-284;-292;-397;13;120;-79;-199;-90;-142;sittingdown
wallace;Man;31;1,71;83;28,4;-11;71;-136;-300;-300;-405;7;114;-74;-201;-92;-147;sittingdown
wallace;Man;31;1,71;83;28,4;-9;72;-154;-297;-302;-408;4;119;-76;-201;-105;-152;sittingdown
wallace;Man;31;1,71;83;28,4;-12;100;-163;-296;-300;-407;-7;68;-77;-203;-88;-149;sittingdown
wallace;Man;31;1,71;83;28,4;-14;99;-148;-271;-280;-388;-12;-12;-77;-268;-76;-166;sittingdown
wallace;Man;31;1,71;83;28,4;-18;97;-146;-271;-283;-386;-11;114;-77;-234;-85;-164;sittingdown
wallace;Man;31;1,71;83;28,4;-13;109;-119;-270;-280;-384;-4;15;-82;-239;-98;-136;sittingdown
wallace;Man;31;1,71;83;28,4;-5;78;-104;-272;-282;-385;-5;114;-88;-227;-89;-117;sittingdown
wallace;Man;31;1,71;83;28,4;-5;81;-97;-268;-277;-380;-8;115;-91;-203;-97;-125;sittingdown
wallace;Man;31;1,71;83;28,4;-13;76;-102;-275;-284;-387;1;117;-84;-196;-94;-119;sittingdown
wallace;Man;31;1,71;83;28,4;-12;90;-103;-267;-280;-384;-2;115;-89;-196;-89;-116;sittingdown
wallace;Man;31;1,71;83;28,4;-20;81;-107;-275;-289;-392;-4;115;-83;-192;-87;-120;sittingdown
wallace;Man;31;1,71;83;28,4;-23;84;-129;-375;-394;-498;-3;115;-84;-190;-92;-129;sittingdown
wallace;Man;31;1,71;83;28,4;-24;83;-128;-391;-412;-516;10;116;-83;-205;-85;-146;sittingdown
wallace;Man;31;1,71;83;28,4;-11;93;-126;-296;-299;-403;16;119;-78;-186;-84;-138;sittingdown
wallace;Man;31;1,71;83;28,4;-3;100;-119;-298;-301;-405;15;119;-77;-191;-83;-137;sittingdown
wallace;Man;31;1,71;83;28,4;-1;105;-161;-285;-294;-400;-14;14;-60;-207;-73;-141;sittingdown
wallace;Man;31;1,71;83;28,4;-14;76;-146;-280;-290;-396;-12;23;-69;-215;-84;-149;sittingdown
wallace;Man;31;1,71;83;28,4;-8;96;-154;-272;-280;-384;-13;112;-84;-230;-89;-127;sittingdown
wallace;Man;31;1,71;83;28,4;-9;98;-139;-280;-315;-431;-10;114;-78;-248;-79;-153;sittingdown
wallace;Man;31;1,71;83;28,4;-15;95;-121;-303;-346;-466;-10;112;-89;-216;-99;-122;sittingdown
wallace;Man;31;1,71;83;28,4;-7;98;-112;-299;-347;-467;-10;111;-91;-190;-96;-102;sittingdown
wallace;Man;31;1,71;83;28,4;-23;76;-103;-303;-339;-459;-7;113;-89;-182;-96;-112;sittingdown
wallace;Man;31;1,71;83;28,4;-17;79;-99;-301;-300;-421;0;112;-90;-175;-101;-115;sittingdown
wallace;Man;31;1,71;83;28,4;-20;79;-104;-303;-396;-518;-1;114;-84;-174;-91;-118;sittingdown
wallace;Man;31;1,71;83;28,4;-15;76;-100;-298;-376;-502;-4;112;-90;-176;-95;-132;sittingdown
wallace;Man;31;1,71;83;28,4;-26;82;-129;-367;-384;-492;0;112;-87;-175;-97;-135;sittingdown
wallace;Man;31;1,71;83;28,4;-29;78;-132;-370;-387;-490;11;116;-85;-207;-86;-149;sittingdown
wallace;Man;31;1,71;83;28,4;-13;92;-117;-279;-292;-396;14;118;-81;-195;-83;-141;sittingdown
